Pedigree,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
PHN11_PHG47_0385/PHB47,4.049952866,-2.977448232,3.408136304,-0.638382385,-0.85761488,0.99848834,-0.037305835,0.265812682,-1.031429761,0.499346984,0.311101361
PHN11_PHG47_0390/PHB47,4.436860239,-4.101920621,3.167150744,-0.853183762,-1.041650199,0.884504895,0.392557863,0.334246387,-0.683715059,0.350588989,-0.689381471
PHN11_PHW65_0065/PHB47,3.696924342,-4.005353584,3.321686035,-0.685045339,-1.018427843,1.077813394,0.66166504,0.48469314,-0.171872503,0.203729633,-0.66892173
PHN11_PHW65_0101/PHB47,3.664662051,-3.268139012,3.541438713,-0.451343722,-0.676338587,1.129197223,0.314531219,0.522797686,-0.13138986,-0.053221484,-0.145803727
PHN11_PHW65_0237/PHB47,3.145591016,-3.072383032,3.484785274,-0.46930426,-0.705652465,1.020251959,0.29315063,0.499367743,-0.041861005,0.070069212,0.008551061
PHN11_PHW65_0294/PHB47,3.362837439,-2.567927246,3.550041434,-0.404303292,-0.514018549,1.035048499,0.176196285,0.45217416,-0.068801335,-0.162820252,0.259074832
PHN11_PHW65_0323/PHB47,3.465204392,-2.885812799,3.510557661,-0.465367129,-0.607006621,1.072641402,0.321337318,0.491736926,-0.031535458,-0.06250101,0.042453685
PHN11_PHW65_0359/PHB47,3.631601779,-3.018913513,3.465627123,-0.34836262,-0.439505898,0.999313122,0.422551704,0.602964129,-0.124172165,-0.098362511,-0.078226618
PHN66/LH82,2.814004008,-1.476086479,-1.648589541,0.176072192,2.942270037,-0.623929547,0.009774986,0.09093706,0.682426774,-0.210444103,0.309621107
PHN66/PHZ51,-4.421601928,-2.284611731,1.048173947,0.204269267,0.422445211,-1.132233586,0.096307251,-0.61918705,0.596173108,-0.095559891,0.639370024
PHN82/LH82,2.136366596,-1.124221688,-0.504703411,0.65464734,1.624831582,-0.696295414,0.159037658,-1.179019958,0.455626215,0.181061289,-0.225320647
PHN82/PHB47,3.715998771,-4.541315688,3.059550025,-0.897413193,-1.002744161,0.959886171,0.740992411,0.353500532,-0.266121507,0.291292556,-0.946185387
PHN82/PHZ51,-1.998391304,-2.655939438,0.589170568,-0.055429226,0.220791368,-1.715641055,0.220009715,-1.285765004,0.865264411,0.129590024,-0.575738147
PHP02/PHB47,4.915558027,-4.613060499,2.848281168,-0.989748232,-1.244643375,0.891149338,0.823325969,0.236110242,-0.55591441,0.421380586,-1.107871868
PHR25/LH82,2.266843477,-1.477865201,-0.328302383,0.660113004,1.747898631,-1.004830857,-0.026074824,-0.978668949,0.310187604,0.001875611,-0.137140315
PHR25/PHB47,3.965128025,-4.35589828,3.017176148,-0.544694,-0.981799673,0.66051147,0.69964516,0.152232211,-0.394383799,0.219668274,-0.86507652
PHR25/PHZ51,-1.910686961,-2.734363131,0.573908603,-0.042216588,0.206085171,-1.889759926,0.298600154,-1.544371731,0.83947242,0.100294444,-0.548955927
PHRE1/LH82,2.361587565,-1.136782593,-0.30439753,0.341936554,3.009934874,-0.62519619,0.300369043,-0.330574524,0.817797638,0.117032664,-0.021602848
PHRE1/PHZ51,-3.495187727,-2.037191925,1.423123301,0.23857469,0.763297434,-1.21778031,0.158147292,-1.148886856,0.726738916,-0.080606179,0.368501481
PHT55/LH82,3.376188958,-1.926658478,-0.855425146,0.543948262,3.080994339,0.079118494,0.098377272,0.036779204,0.927028163,-0.095706877,-0.041401896
PHT55/PHB47,2.157436917,-0.780544012,2.372559842,1.239135508,-0.184802599,0.409939858,0.177040933,-0.449605112,0.141837665,-0.447104396,0.535673334
PHT55/PHZ51,-4.509637168,-2.989783184,1.335890639,0.320521909,0.497987243,-0.987491277,0.305852575,-0.527570313,0.973272928,-0.281915324,0.646748538
PHT69/LH82,3.204207267,-2.091253284,0.079964344,0.59298842,3.202028452,-0.035864828,0.224197592,-0.158840073,0.259454715,0.066558913,-0.026977508
PHT69/PHZ51,-3.641720321,-2.915485996,1.852139243,0.421701129,0.489812565,-0.854124463,0.12124352,-0.847251457,0.549471635,-0.139973915,0.321387592
PHW30/LH82,2.21907587,-0.782146072,-0.184296453,0.529599077,2.049707425,-0.665832597,-0.482348773,-0.908189039,0.153886157,0.354744307,-0.153192167
PHW30/PHB47,3.31244105,-3.019046401,3.404629902,-0.382869566,-0.540169245,1.048511824,0.16175239,0.259311137,-0.166611907,0.431966596,-0.327218716
PHW30/PHZ51,-2.520957687,-2.420494878,0.79959059,0.044555064,0.454572499,-1.513946001,-0.148893558,-1.201031407,0.670023652,0.342899488,-0.181216119
PHW53/LH82,0.292056957,-1.814490995,-0.119315323,0.909768378,2.002795613,-0.80969601,-0.150114639,-1.260644938,0.355751223,0.284403687,-0.158152846
PHW53/PHB47,1.311409204,-4.498483262,3.043746082,-0.284530854,-0.339985695,0.868556994,0.382478528,0.051573989,-0.215253162,0.172229909,-0.527513461
PHW53/PHZ51,-0.494890478,-0.687047362,0.355446234,0.731251873,0.108686726,-1.253545082,0.33157337,-1.740170201,0.674664376,0.172183357,-0.45285338
PHW65/LH82,2.368817596,-0.784856449,-0.11866077,0.296903301,2.608596893,-0.506716364,-0.21376067,-0.48467541,0.774098046,-0.039811937,-0.013306483
PHW65/PHB47,2.637651068,-2.127803871,3.636735922,-0.158616619,-0.294575369,1.040986308,0.130795898,0.519973802,0.192478179,-0.257606186,0.595463315
PHW65/PHZ51,-3.028939097,-1.126058671,1.581475681,0.226856208,0.622979844,-1.246232703,-0.062789216,-1.185527747,0.73378687,0.024153461,0.223268204
PHW65_MOG_0012/LH198,-0.528873694,0.970358344,-1.121727767,-0.295587971,-1.521809284,1.163115905,-0.464402417,1.38366885,0.835013159,-0.722514228,0.935251002
PHW65_MOG_0012/PHB47,2.420780767,-1.906420776,3.661909534,-0.066155948,-0.322520796,1.119566808,0.194411706,0.457081204,0.210380563,-0.452239637,0.7122725
PHW65_MOG_0029/PHB47,2.819732003,-1.955662012,3.325325627,0.352887416,-0.171063722,0.929779779,-0.007380764,0.68829074,0.350519074,-0.888048851,0.885167671
PHW65_MOG_0137/PHB47,2.798681678,-2.121126559,3.561054142,0.098360464,-0.295770022,0.912415522,-0.148501562,0.658127168,0.216503857,-0.597297572,0.724855543
PHZ51/LH195,-7.395445726,-3.500911856,-0.58212716,-0.167154279,-0.323793629,0.986028563,0.057293715,0.48897282,1.344534693,0.202240322,-0.972421477
PHZ51/LH82,-2.013153697,-3.203074745,-0.479327087,0.361454675,3.120471442,-1.183763448,-0.017639129,-0.95921525,0.621369868,0.166740878,-0.324240973
PHZ51/PHB47,-2.709620032,-4.075325946,3.431633917,0.19087847,0.161677638,0.328257975,0.337143824,-0.211606693,0.164493686,-0.114177101,0.531708921
SD101/LH82,2.941077344,-1.633167667,0.035978908,0.842432087,2.465959205,0.226457493,0.12731092,-0.088967056,0.33077466,0.247254307,-0.169288334
SD101/PHB47,2.258039985,-0.994205118,2.152837308,0.906890561,-0.036048274,0.848345713,0.336646355,-0.462590122,-0.077369874,-0.048488753,0.202750501
SD101/PHZ51,-3.541145116,-3.196749262,1.28109335,0.26686594,0.756179978,-0.680319718,0.417760451,-0.44240264,0.849675622,-0.017200044,0.083706619
SD107/LH82,2.839658255,-1.434948306,-1.643527784,0.719600678,2.779224324,-0.869174414,-0.12843491,-0.155381275,0.422515576,-0.064642543,0.362090629
SD107/PHZ51,-4.232164754,-2.386422882,0.854971804,0.382036386,0.634556434,-1.58040068,0.112536258,-0.639001712,0.35514017,-0.198796163,0.93944809
TX130 RP/PHB47,1.717025881,-0.861352272,3.846064628,-0.077776322,0.734387169,0.639182858,1.230363452,0.807409967,0.03753319,-0.015674412,0.614412567
