line_code	Intcp_mean	Slope_mean	Intcp_para	Slope_para
F2834T	68.7778	1.0819	68.7778	-21.1091
F44	79	1.1554	79	-22.8718
F6	82.6805	0.8554	82.7029	-16.722
F7	54.273	0.7388	54.2482	-13.8848
GA209	78.9191	0.9811	78.3866	-20.3487
GT112	83.1111	1.043	83.1111	-20.047
H105W	65.6667	0.9352	65.6667	-17.2335
H49	67.1111	0.9774	67.1111	-18.823
H84	69.4444	0.7692	69.4444	-14.5149
H91	67.6667	0.9	67.6667	-17.5792
H95	70.1111	1.0038	70.1111	-19.2291
H99	65.1798	0.8065	65.5564	-15.4562
Hi27	80.6667	1.4513	80.6667	-28.9073
Hp301	67.7065	0.9552	67.7065	-18.332
Hy	70.1895	0.8314	69.9327	-17.6737
I137TN	74.9466	0.9607	74.7378	-19.5684
I205	68.4144	0.8272	68.4846	-15.7738
