line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
LH198/PHN82,NA,108.245,NA,NA,NA,NA,NA,NA,178.595,194.715,183.585,NA,NA,202.175,224.765,212.207295,209.945,235.8125604,254.245
LH198/PHZ51,69.615,100.811428571429,120.75,122.445,118.105,134.64,177.02,178.36,148.3225,181.725,189.21,168.465,135.33,186.4925,187.956666666667,191.458426475,179.65,194.121405125,218.3025
LH198/Q381,NA,120.0875,NA,NA,NA,NA,NA,NA,157.965,195.28,196.635,NA,NA,202.085,193.525,201.9901268,206.275,210.759284,210.345
LH205/3IIH6,58.575,NA,NA,NA,140.84,NA,159.485,NA,136.505,172.5,174.535,179.86,175.76,178.475,186.4,173.58294295,176.02,178.2589983,192.33
LH209/3IIH6,49.62,NA,NA,NA,114.83,NA,173.025,NA,126.32,173.05,150.45,172.28,188.415,158.24,172.045,166.06208115,172.985,161.1050934,179.41
LH212HT/LH195,105.555,NA,NA,131.765,NA,133.1,128.235,NA,NA,194.305,220.975,205.92,171.13,206.03,211.08,NA,230.43,NA,185.64
LH216/LH195,110.77,83.5225,147.49,200.84,126.845,185.395,147.4,128.915,152.515,208.535,199.82,192.325,174.6,260.655,156.8,199.17042605,248.63,204.50872695,214.065
LH220HT/3IIH6,98.935,NA,NA,NA,125.645,NA,192.015,NA,136.245,143.065,182.445,133.25,188.74,130.775,161.265,148.57770205,152.8,171.8549201,201.085
LH74/PHM49,NA,119.816666666667,140.51,NA,NA,NA,NA,NA,NA,NA,182.005,NA,NA,166.6,NA,NA,NA,NA,NA
LH74/PHN82,111.495,NA,NA,85.035,109.89,133.27,156.9,NA,NA,188.915,171.975,177.34,178.84,NA,NA,NA,188.845,NA,245.98
LH82/LH145,NA,115.7025,NA,NA,135.375,NA,NA,163.495,NA,120.095,NA,83.495,148.575,NA,152.98,154.66268725,NA,150.1206961,NA
LH82/PHB47,NA,103.28,NA,NA,160.1,NA,NA,158.25,NA,154.125,NA,170.93,174.135,NA,190.295,192.30063775,NA,204.4772612,NA
LH82/S8324,NA,125.9175,NA,NA,136.52,NA,NA,140.92,NA,165.39,NA,169.35,172.54,NA,172.695,168.27539645,NA,197.8030042,NA
MBNIL B004/LH185,NA,NA,NA,NA,NA,NA,NA,160.815,NA,NA,NA,NA,NA,NA,NA,200.43893155,NA,NA,NA
MBNIL B004/PHZ51,NA,NA,NA,NA,NA,NA,NA,114.665,149.22,113.405,NA,NA,NA,NA,174.85,181.4248225,NA,NA,208.625
