line_code,NEH4,ONH2,TXH1-Late,ARH1,COH1,NEH3,GAH2,GAH1,NYH1,NCH1,TXH2,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH3,TXH1-Dry,TXH1-Early,NYH2,ILH1,DEH1,IAH4,ONH1,WIH2,IAH1,WIH1,INH1,IAH3
CG124/LH145,NA,46.82,NA,NA,80.405,NA,NA,NA,113.545,NA,NA,NA,138.02,NA,108.165,NA,113.32,NA,NA,NA,158.305,NA,NA,88.96,117.59,101.3737405,NA,194.7176019,NA,NA
CG124/PHHV4,NA,73.075,NA,NA,91.7925,NA,NA,NA,130.5,NA,NA,NA,154.83,NA,118.84,NA,147.47,NA,NA,NA,191.765,NA,NA,138.755,181.2,188.0291602,NA,221.2483466,NA,NA
CG124/PHRE1,NA,57.235,NA,NA,86.855,NA,NA,NA,143.555,NA,NA,NA,142.545,NA,137.86,NA,149.135,NA,NA,NA,173.185,NA,NA,153.555,182.79,176.70792855,NA,200.86175275,NA,NA
CG124/S8324,NA,73.005,NA,NA,119.0125,NA,NA,NA,113.71,NA,NA,NA,143.915,NA,165.79,NA,163.9,NA,NA,NA,178.425,NA,NA,142.465,195.99,158.7231099,NA,173.30924935,NA,NA
CG44/CGR01,NA,64.91,88.39,111.275,100.545,NA,117.055,30.305,110.125,98.865,121.575,157.375,126.905,137.085,151.065,151.63,133.22,NA,98.8,116.87,178.755,163.54,121.255,158.855,170.09,188.98388675,127.315,206.35989305,160.375,198.23
CG60/LH162,NA,43.19,68.74,43.92,82.49,NA,109.99,21.085,74.0033333333333,70.59,81.655,156.27,117.27,72.61,123.0575,134.86,101.625,NA,91.51,59.085,129.605,197.245,NA,135.53,137.9625,133.9659757,124.035,80.638972945,123.775,147.09
CG60/LH185,NA,57.835,NA,NA,113.0525,NA,NA,NA,86,NA,NA,NA,130.885,NA,159.33,NA,119.66,NA,NA,NA,165.55,NA,NA,140.155,178.95,164.5083753,NA,155.5432684,NA,NA
CG60/LH82,NA,55.395,NA,NA,106.676666666667,NA,NA,NA,127.87,NA,NA,NA,134.19,NA,142.345,NA,130.425,NA,NA,NA,161.655,NA,NA,169.9,141.305,159.3914645,NA,128.27663485,NA,NA
CGR01/LH82,NA,65.2066666666667,NA,NA,127.1,NA,128.18,NA,NA,NA,NA,NA,NA,NA,NA,181.655,NA,128.355,NA,NA,NA,220.25,136.54,NA,151.8625,NA,NA,NA,153.555,NA
CGR03/CG108,NA,61.825,87.98,137.86,101.01,NA,59.96,50.83,132.945,89.725,105.855,163.855,142.85,148.74,134.42,145.355,122.935,NA,144.505,126.855,216.21,165.255,113.065,177.855,203.465,185.60617075,158.075,211.06256045,152.975,196.555
CO258/3IIH6,NA,NA,NA,118.12,NA,NA,NA,NA,148.63,NA,NA,169.98,NA,NA,138.64,154.845,136.045,NA,NA,NA,168.835,153.46,NA,NA,NA,NA,163.31,NA,NA,NA
DKFBHJ/3IIH6,NA,NA,NA,96.925,NA,NA,NA,NA,128.265,NA,NA,129.695,NA,142.575,153.825,154.01,151.76,NA,NA,NA,172.04,177.03,160.465,149.69,NA,165.04676625,161.7,136.68912425,148.525,194.535
F42/H95,NA,NA,91.46,82.87,NA,NA,NA,115.85,165.565,145.9,165.555,142.56,NA,NA,NA,130.28,133.32,NA,162.915,188.975,NA,175.355,NA,NA,173.155,NA,NA,NA,NA,NA
F42/MO17,NA,76.75,112.495,56.395,103.41,NA,151.74,171.835,122.87,164.895,144.95,138.08,170.18,165.075,134.615,178.445,184.93,NA,175.395,201.61,125.695,204.295,188.555,166.83,214.58,233.39392265,219.6,222.578612,181.365,221.25
F42/OH43,NA,NA,80.92,115.85,NA,NA,NA,83.57,136.57,147.085,113.645,157.48,NA,NA,NA,131.39,157.245,NA,179.995,196.885,NA,NA,NA,NA,198.72,NA,NA,NA,NA,NA
FBLA/3IIH6,NA,NA,NA,94.87,NA,NA,NA,NA,140.72,NA,NA,144.38,NA,166.67,136.56,164.375,165.015,NA,NA,NA,144.95,149.415,166.39,130.98,NA,160.70223115,162.42,151.3641378,180.17,181.265
FR19/3IIH6,NA,NA,NA,130.675,NA,NA,NA,NA,109.69,NA,NA,131.15,NA,110.38,132.205,157.87,115.99,NA,NA,NA,145.085,181.455,105.45,149.285,NA,157.2639269,171.88,175.39218255,173.775,175.47
GEMN-0268/3IIH6,36.87,83.45,113.875,66.145,107.7375,137.435,119.39,87.65,103.315,159.79,118.765,129.33,156.09,176.54,170.955,207.64,199.81,NA,148.805,166.81,151.91,147.95,228.38,191.0525,236.57,189.74458835,196.76,217.4334573,239.27,232.955
GEMN-0269/3IIH6,NA,NA,NA,NA,NA,NA,155.21,NA,NA,157.065,NA,NA,157.56,163.005,156.54,NA,NA,NA,NA,192.15,NA,NA,NA,188.005,NA,NA,187.505,217.90109215,NA,202.935
H122W/3IIH6,NA,NA,NA,114.94,NA,NA,NA,NA,120.635,NA,NA,123.615,NA,NA,NA,166.25,NA,NA,NA,NA,169.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
H84/3IIH6,NA,NA,NA,76.06,NA,NA,NA,NA,161.365,NA,NA,137.28,NA,NA,166.515,169.23,160.215,NA,NA,NA,188.525,183.89,192.44,186.545,NA,NA,194.925,NA,217.245,200.175
H91/3IIH6,NA,NA,NA,70.71,NA,NA,NA,NA,127.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
I159/3IIH6,NA,NA,NA,96.485,NA,NA,NA,NA,112.755,NA,NA,169.785,NA,107.34,111.005,127.445,100.36,NA,NA,NA,187.655,203.515,144.515,169.59,NA,154.52046365,167.91,138.4579438,150.095,192.42
ICI 441/LH123HT,46.465,NA,NA,NA,100.4225,126.065,NA,NA,NA,NA,NA,NA,NA,199.39,225.28,121.665,NA,102.05,NA,NA,NA,207.435,250.335,260.09,NA,203.18904775,245.41,244.40581065,231.07,262.58
ICI 441/LH185,45.71,NA,NA,NA,134.9175,125.405,NA,NA,NA,NA,NA,NA,NA,176.085,205.22,200.94,NA,136.75,NA,NA,NA,195.805,224.7,223.015,NA,225.96938295,237.03,171.1879882,203.895,220.085
ICI 441/LH38,40.01,NA,NA,NA,105.4975,109.275,NA,NA,NA,NA,NA,NA,NA,175.5,197.62,174.63,NA,157.91,NA,NA,NA,172.07,173.02,198.935,NA,194.03631785,215.83,189.22172105,170.59,214.71
ICI 441/LH51,44.45,NA,NA,NA,110.5575,74.56,NA,NA,NA,NA,NA,NA,NA,161.57,154.6,171.895,NA,185.84,NA,NA,NA,212.785,208.86,208.93,NA,195.7788601,208.39,149.77423795,189.51,176.82
ICI 441/LH82,46.96,NA,NA,NA,132.325,147.345,NA,NA,NA,NA,NA,NA,NA,200.385,162.11,202.685,NA,148.965,NA,NA,NA,178.54,168.275,215.975,NA,171.61419865,192.765,200.7985283,170.585,244.615
