line_code,Intcp_mean,Slope_mean,Intcp_para,Slope_para
PHW52/PHN37,156.2583,1.1013,NA,-6.2237
PHZ51/LH145,131.1228,0.4967,NA,8.6652
S8324/3IIH6,159.612,1.0396,NA,0.7011
S8324/LH162,135.9214,0.6433,NA,-1.3215
S8324/PHK05,127.6082,0.3441,NA,1.1217
S8324/PHK56,165.314,1.0317,NA,2.0534
S8324/PHR25,134.4666,0.8315,NA,2.487
S8324/PHZ51,152.2507,1.0502,NA,2.1139
VA35/LH195,151.4176,1.066,NA,-5.2416
W10005_0147/PHB47,142.6969,0.8156,NA,0.1976
W10008_0069/PHB47,142.8655,1.0961,NA,3.9709
W37A/PHB47,120.5334,0.8511,NA,-5.1728
WF9/H95,134.8689,1.0664,NA,-0.7737
B97/PHB47,140.4394,1.2537,NA,10.1443
BGEM-0005-N/LH195,118.9509,0.9096,NA,-4.2055
BGEM-0063-N/LH195,153.7643,1.2375,NA,-6.0414
BGEM-0089-N/LH195,133.5932,0.6045,NA,-4.7108
BGEM-0124-N/LH195,125.8619,0.6829,NA,-2.5413
BGEM-0151-N/LH195,123.3317,0.9565,NA,-4.8828
BGEM-0182-N/LH195,137.2048,1.2842,NA,-5.579
BGEM-0202-N/LH195,148.1808,0.9933,NA,-6.5913
BGEM-0203-N/LH195,115.5844,0.6692,NA,-4.1693
BGEM-0206-N/LH195,131.9763,0.3731,NA,-2.7636
BGEM-0207-N/LH195,131.0539,0.7136,NA,-6.1722
BGEM-0211-N/LH195,141.19,0.9411,NA,-6.0219
BGEM-0227-N/LH195,138.1842,0.5781,NA,-2.1778
BGEM-0235-N/LH195,159.4561,1.373,NA,-8.8282
BGEM-0239-N/LH195,151.8476,0.7549,NA,-3.4264
BGEM-0246-N/LH195,144.9154,1.2343,NA,-7.569
BGEM-0256-N/LH195,126.1049,1.1021,NA,-7.5577
BGEM-0259-N/LH195,140.0025,0.7304,NA,-3.3982
GEMN-0269/3IIH6,163.2172,0.7695,NA,-2.7515
MO17/PHZ51,137.9985,0.5993,NA,-3.3034
Z029E0002/PHZ51,135.9431,0.6362,NA,-2.752
Z031E0012/PHZ51,146.2096,1.0784,NA,-4.2574
Z032E0034/PHZ51,145.6928,0.8928,NA,-5.5552
Z032E0081/PHZ51,140.162,1.3993,NA,-18.2585
Z033E0001/PHZ51,138.3789,0.7911,NA,-4.4877
Z034E0042/3IIH6,117.7554,0.7678,NA,-3.5328
Z034E0042/PHZ51,129.0099,1.1878,NA,-5.3271
Z035E0047/PHZ51,150.8761,1.1406,NA,-6.1991
Z036E0057/PHZ51,141.3792,0.4901,NA,-0.599
Z037E0012/3IIH6,159.6594,0.9519,NA,-2.8437
Z037E0054/PHZ51,127.3542,0.8056,NA,-16.7373
Z038E0057/3IIH6,153.2571,1.3486,NA,-4.8845
Z038E0057/PHZ51,137.6408,1.5636,NA,-7.0731
MBNIL B004/PHZ51,134.4412,0.9734,NA,-0.6519
MBNIL B015/3IIH6,144.9919,1.0893,NA,-4.182
MBNIL B015/PHZ51,131.0206,1.0844,NA,-7.5029
MBNIL B040/3IIH6,130.3502,0.7598,NA,-1.0041
MBNIL B040/PHZ51,133.0153,0.9337,NA,-6.0394
MBNIL B043/3IIH6,144.1994,1.1945,NA,-2.6192
MBNIL B043/PHZ51,143.0205,1.0205,NA,-3.1258
MBNIL B044/PHZ51,136.1733,1.1814,NA,-6.5163
MBNIL B049/PHZ51,134.8776,1.1885,NA,-4.2428
MBNIL B055/LH185,145.5862,0.9643,NA,-1.4431
MBNIL B055/PHZ51,132.2966,1.106,NA,-4.9565
MBNIL B057/PHZ51,126.8582,1.1194,NA,-2.2369
MBNIL B065/3IIH6,144.9306,0.9931,NA,-3.3443
MBNIL B065/PHZ51,139.9652,0.9878,NA,-5.5426
MBNIL B078/3IIH6,135.5032,0.9973,NA,-0.765
MBNIL B078/PHZ51,123.9419,0.9624,NA,-3.1496
MBNIL B102/PHZ51,145.2507,1.0176,NA,-2.1792
MBNIL B107/3IIH6,144.3856,1.1085,NA,-3.0104
MBNIL B107/PHZ51,133.941,1.1989,NA,-4.8585
MBNIL B111/3IIH6,156.0692,1.0428,NA,-1.1896
MBNIL B111/PHZ51,133.5601,1.103,NA,-5.5369
MBNIL B122/3IIH6,125.1692,0.9315,NA,-4.1796
MBNIL B122/PHZ51,140.4033,1.1548,NA,-5.5658
MBNIL B123/PHZ51,138.9914,0.9986,NA,-5.9182
MBNIL B136/PHZ51,142.0887,1.1139,NA,-1.9532
MBNIL B154/3IIH6,152.6335,0.9964,NA,-0.7041
MBNIL B154/PHZ51,147.6394,1.1062,NA,-3.3902
MBNIL B169/PHZ51,136.8369,1.0344,NA,-5.1425
MBNIL B175/3IIH6,141.9611,0.8979,NA,-2.8006
MBNIL B175/LH185,155.9618,1.0726,NA,-0.5215
MBNIL B175/PHZ51,138.1167,1.0632,NA,-2.8624
