"line_code","env_code","Yield"
"B14A/H95","IAH4",174.76
"B14A/H95","IAH2",112.22
"B14A/H95","ONH1",175.91
"B14A/H95","IAH4",158.61
"B14A/H95","ONH1",211.24
"B14A/H95","MIH1",148.74
"B14A/H95","TXH2",146.47
"B14A/H95","WIH2",138.5230093
"B14A/H95","TXH1-Late",52.22
"B14A/H95","ARH2",121.63
"B14A/H95","OHH1",171.54
"B14A/H95","WIH2",155.5566999
"B14A/H95","MNH1",101.53
"B14A/H95","ARH1",41.19
"B14A/H95","MNH1",182.45
"B14A/H95","ARH2",191.96
"B14A/H95","MIH1",145.3
"B14A/H95","OHH1",167.77
"B14A/H95","ARH1",118.18
"B14A/H95","NYH1",NA
"B14A/H95","NYH1",NA
"B14A/H95","NYH2",NA
"B14A/H95","NYH2",NA
"B14A/MO17","NEH3",136.06
"B14A/MO17","NEH4",49.67
"B14A/MO17","NEH4",39.91
"B14A/MO17","GAH1",125.89
"B14A/MO17","NEH3",92.84
"B14A/MO17","SCH1",NA
"B14A/MO17","NCH1",211.63
"B14A/MO17","NCH1",120.77
"B14A/MO17","SCH1",NA
"B14A/MO17","GAH2",178.45
"B14A/MO17","GAH1",155.59
"B14A/MO17","COH1",72.19
"B14A/MO17","ILH1",145.92
"B14A/MO17","COH1",64.03
"B14A/MO17","TXH1-Dry",185.25
"B14A/MO17","ILH1",207.55
"B14A/MO17","NYH2",132.37
"B14A/MO17","COH1",108.12
"B14A/MO17","COH1",85.44
"B14A/MO17","INH1",182.47
"B14A/MO17","MOH1",177.76
"B14A/MO17","DEH1",163.4
"B14A/MO17","MOH1",158.81
"B14A/MO17","DEH1",121.19
"B14A/MO17","GAH2",110.32
"B14A/MO17","IAH2",178.97
"B14A/MO17","IAH3",253.16
"B14A/MO17","INH1",220.83
"B14A/MO17","TXH1-Early",200.01
"B14A/MO17","TXH1-Early",209.03
"B14A/MO17","ARH2",112.8
"B14A/MO17","ONH2",70.97
"B14A/MO17","NYH2",204.39
"B14A/MO17","TXH1-Dry",195.85
"B14A/MO17","NYH1",148.11
"B14A/MO17","NYH1",138.18
"B14A/MO17","IAH4",141.89
"B14A/MO17","IAH1",228.52
"B14A/MO17","ONH2",85.89
